Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Star Voyager,2600_b,I.Magic,Imagic,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Stargunner,2600_b,Unknown,Telesys,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Sub Scan,2600_b,Sega,Sega,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Submarine Commander,2600_b,Sears,Sears,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Super Breakout,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Super Challenge Baseball,2600_b,Mattel Interactive,Mattel,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Super Challenge Football,2600_b,Mattel Interactive,Mattel,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Swordquest: EarthWorld,2600_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Swordquest: FireWorld,2600_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Tac-Scan,2600_b,Sega,Sega,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Tanks But No Tanks,2600_b,Unknown,Zimag,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Tape Worm,2600_b,Spectravision,Spectravision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Tax Avoiders,2600_b,Unknown,Dunhill Electronics,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
The Challenge of... Nexar,2600_b,Spectravision,Spectravision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Threshold,2600_b,Tigervision,Tigervision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Towering Inferno,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Trick Shot,2600_b,Imagic,Imagic,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Tron Deadly Discs,2600_b,Mattel Interactive,Mattel Interactive,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Turmoil,2600_b,20th Century Fox Video Games,20th Century Fox Video Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
